Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Status,Date_of_Application,Date_of_Approval,Modified_Date,Reviewer_ID,Reviewer_Name,Reviewer_Comments,Load_Applied
Applicant_1,Male,District_0,Andhra Pradesh,676480,Rented,PAN,ID1000,OBC,Approved,29-08-2024,27-05-2023,20-02-2025,014,Sanjay Kulkarni,Application  iewed successfully.,22
Applicant_2,Male,District_1,Tamil Nadu,634627,Owned,Passport,ID1001,ST,Approved,20-06-2023,25-01-2023,15-12-2023,019,Nitin Bansal,Application under consideration.,29
Applicant_3,Female,District_2,Karnataka,690186,Rented,Passport,ID1002,ST,Rejected,28-03-2023,02-08-2025,05-04-2025, 003,Kavita Menon,Application  iewed successfully.,46
Applicant_4,Other,District_3,Tamil Nadu,657197,Leased,Passport,ID1003,General,Rejected,10-08-2025,01-04-2025,22-08-2024, 014,Neha Kapoor,Rejected due to incomplete information.,27
Applicant_5,Female,District_4,Andhra Pradesh,657458,Leased,Passport,ID1004,General,Approved,05-12-2024,13-09-2024,25-06-2025, 002,Meera Reddy,Final approval granted.,42
Applicant_6,Other,District_5,Karnataka,662770,Rented,PAN,ID1005,General,Pending,12-02-2023,25-01-2023,07-02-2023, 013,Sneha Iyer,Requires further validation.,29
Applicant_7,Other,District_6,Karnataka,690442,Rented,VoterID,ID1006,ST,Pending,22-03-2023,07-08-2023,20-09-2024, 015,Amit Sharma,Final approval granted.,12
Applicant_8,Female,District_7,Karnataka,647991,Leased,Aadhar,ID1007,General,Approved,02-08-2025,10-08-2024,27-11-2023, 009,Kavita Menon,Approved after detailed  iew.,18
Applicant_9,Other,District_8,Kerala,603876,Rented,VoterID,ID1008,General,Pending,18-09-2024,10-10-2023,15-05-2023, 001,Sneha Iyer,Approved after detailed  iew.,12
Applicant_10,Female,District_9,Andhra Pradesh,660887,Rented,Aadhar,ID1009,SC,Approved,22-10-2023,12-07-2023,20-02-2023, 012,Ankit Mishra,Final approval granted.,46
Applicant_11,Other,District_0,Andhra Pradesh,636114,Owned,VoterID,ID1010,ST,Approved,03-08-2023,19-09-2024,24-07-2024, 004,Rohan Gupta,Need more documents for verification.,39
Applicant_12,Other,District_1,Karnataka,699008,Leased,PAN,ID1011,OBC,Rejected,27-06-2025,13-04-2024,07-02-2025, 001,Suresh Patil,Application  iewed successfully.,21
Applicant_13,Male,District_2,Karnataka,656370,Leased,VoterID,ID1012,General,Approved,25-08-2024,21-04-2025,04-09-2024, 016,Vikram Nair,Application  iewed successfully.,34
Applicant_14,Other,District_3,Kerala,695191,Leased,Aadhar,ID1013,General,Approved,23-06-2025,25-05-2023,23-04-2023, 017,Divya Malhotra,Cross-check required with local authority.,4
Applicant_15,Female,District_4,Andhra Pradesh,672853,Rented,Passport,ID1014,OBC,Rejected,03-02-2024,02-06-2023,30-04-2023, 009,Meera Reddy,Application  iewed successfully.,27
Applicant_16,Female,District_5,Kerala,637956,Leased,Aadhar,ID1015,OBC,Approved,10-03-2024,07-06-2025,22-06-2023, 008,Ankit Mishra,Cross-check required with local authority.,32
Applicant_17,Other,District_6,Kerala,684343,Leased,VoterID,ID1016,SC,Rejected,24-08-2023,03-02-2024,24-09-2024, 011,Neha Kapoor,Final approval granted.,45
Applicant_18,Female,District_7,Andhra Pradesh,607687,Leased,PAN,ID1017,SC,Rejected,14-03-2025,30-07-2024,14-11-2024, 005,Rahul Das,Application  iewed successfully.,24
Applicant_19,Other,District_8,Tamil Nadu,694842,Leased,Aadhar,ID1018,ST,Pending,26-10-2023,11-11-2023,17-01-2025, 010,Ankit Mishra,Application  iewed successfully.,40
Applicant_20,Other,District_9,Telangana,678196,Rented,PAN,ID1019,General,Approved,17-06-2025,25-03-2025,13-09-2024, 001,Priya Verma,Cross-check required with local authority.,27
Applicant_21,Female,District_0,Telangana,640943,Owned,Aadhar,ID1020,SC,Approved,02-09-2024,16-04-2023,26-06-2025, 002,Ankit Mishra,Application  iewed successfully.,15
Applicant_22,Female,District_1,Tamil Nadu,646446,Leased,PAN,ID1021,OBC,Pending,02-09-2023,20-11-2023,14-05-2024, 014,Ankit Mishra,Need more documents for verification.,50
Applicant_23,Male,District_2,Andhra Pradesh,650286,Leased,VoterID,ID1022,General,Rejected,01-06-2023,25-06-2024,18-11-2023, 009,Arjun Mehta,Cross-check required with local authority.,9
Applicant_24,Other,District_3,Karnataka,612897,Leased,Aadhar,ID1023,SC,Approved,05-01-2024,04-08-2023,20-06-2025, 016,Neha Kapoor,Pending additional details.,14
Applicant_25,Male,District_4,Kerala,647169,Leased,VoterID,ID1024,General,Pending,04-05-2025,30-04-2023,04-02-2024, 017,Kiran Rao,Final approval granted.,8
Applicant_26,Male,District_5,Telangana,663477,Rented,PAN,ID1025,ST,Rejected,07-04-2024,19-12-2023,04-05-2023, 017,Kavita Menon,Pending additional details.,24
Applicant_27,Female,District_6,Telangana,635662,Owned,Aadhar,ID1026,SC,Pending,22-05-2025,27-01-2023,04-02-2024, 005,Anjali Joshi,Rejected due to incomplete information.,8
Applicant_28,Female,District_7,Kerala,668929,Rented,VoterID,ID1027,SC,Approved,02-06-2023,01-10-2024,12-06-2024, 014,Suresh Patil,Application under consideration.,50
Applicant_29,Other,District_8,Andhra Pradesh,677076,Leased,PAN,ID1028,General,Approved,16-05-2024,17-04-2025,17-02-2024, 013,Shreya Bose,Cross-check required with local authority.,8
Applicant_30,Male,District_9,Karnataka,644204,Owned,PAN,ID1029,General,Approved,24-05-2025,10-07-2025,01-06-2023, 016,Deepak Yadav,Cross-check required with local authority.,13
Applicant_31,Female,District_0,Kerala,683867,Leased,Aadhar,ID1030,ST,Approved,08-03-2025,10-04-2025,20-11-2024, 007,Arjun Mehta,Final approval granted.,38
Applicant_32,Female,District_1,Karnataka,696730,Leased,VoterID,ID1031,OBC,Pending,22-02-2025,02-05-2025,26-09-2023, 008,Nitin Bansal,Rejected due to incomplete information.,27
Applicant_33,Other,District_2,Telangana,627928,Leased,VoterID,ID1032,OBC,Approved,25-08-2023,06-02-2023,28-07-2023, 001,Pooja Sinha,Final approval granted.,7
Applicant_34,Male,District_3,Kerala,689804,Owned,VoterID,ID1033,General,Approved,28-01-2025,11-03-2025,14-05-2025, 003,Rohan Gupta,Application  iewed successfully.,42
Applicant_35,Male,District_4,Kerala,688962,Leased,Aadhar,ID1034,General,Approved,11-07-2023,25-02-2025,28-05-2025, 020,Deepak Yadav,Requires further validation.,15
Applicant_36,Male,District_5,Telangana,649811,Leased,PAN,ID1035,SC,Pending,16-05-2023,30-07-2025,18-04-2023, 019,Rahul Das,Rejected due to incomplete information.,7
Applicant_37,Male,District_6,Tamil Nadu,653130,Leased,Aadhar,ID1036,ST,Pending,28-02-2023,20-01-2025,14-07-2023, 020,Ankit Mishra,Pending additional details.,38
Applicant_38,Male,District_7,Telangana,660078,Leased,Aadhar,ID1037,SC,Approved,24-12-2024,28-11-2024,25-10-2023, 014,Neha Kapoor,Verified and confirmed.,7
Applicant_39,Other,District_8,Andhra Pradesh,645239,Owned,PAN,ID1038,General,Pending,15-02-2024,17-05-2024,17-04-2025, 011,Meera Reddy,Application under consideration.,16
Applicant_40,Female,District_9,Andhra Pradesh,607662,Owned,Aadhar,ID1039,General,Rejected,16-09-2023,21-11-2023,02-05-2023, 012,Arjun Mehta,Pending additional details.,3
Applicant_41,Female,District_0,Telangana,647507,Owned,Passport,ID1040,General,Approved,21-04-2024,06-03-2024,08-12-2023, 006,Sneha Iyer,Final approval granted.,26
Applicant_42,Other,District_1,Kerala,651737,Leased,Passport,ID1041,SC,Rejected,31-07-2024,13-07-2024,10-02-2025, 012,Sneha Iyer,Need more documents for verification.,49
Applicant_43,Other,District_2,Andhra Pradesh,674399,Leased,Passport,ID1042,General,Approved,15-05-2023,14-07-2023,08-01-2023, 020,Sanjay Kulkarni,Approved after detailed  iew.,43
Applicant_44,Male,District_3,Karnataka,670608,Leased,PAN,ID1043,SC,Approved,15-01-2023,12-07-2025,04-01-2023, 008,Anjali Joshi,Approved after detailed  iew.,47
Applicant_45,Female,District_4,Andhra Pradesh,604789,Leased,PAN,ID1044,SC,Rejected,17-12-2024,20-02-2025,06-11-2024, 015,Priya Verma,Requires further validation.,3
Applicant_46,Male,District_5,Telangana,698509,Rented,PAN,ID1045,ST,Pending,21-01-2024,15-03-2024,28-08-2024, 005,Sanjay Kulkarni,Need more documents for verification.,39
Applicant_47,Other,District_6,Tamil Nadu,666930,Owned,Passport,ID1046,SC,Rejected,10-08-2023,08-12-2024,04-09-2024, 003,Shreya Bose,Requires further validation.,44
Applicant_48,Female,District_7,Telangana,671619,Owned,Passport,ID1047,OBC,Approved,04-02-2024,16-07-2023,24-02-2023, 017,Rahul Das,Application under consideration.,2
Applicant_49,Other,District_8,Karnataka,605563,Owned,VoterID,ID1048,ST,Pending,14-09-2024,09-08-2024,02-03-2023, 018,Deepak Yadav,Requires further validation.,13
Applicant_50,Other,District_9,Tamil Nadu,623181,Rented,VoterID,ID1049,SC,Rejected,17-04-2023,05-05-2024,04-07-2024, 001,Meera Reddy,Cross-check required with local authority.,38
Applicant_51,Other,District_0,Karnataka,607525,Owned,VoterID,ID1050,ST,Pending,07-04-2025,06-08-2024,14-02-2025, 003,Suresh Patil,Application  iewed successfully.,14
Applicant_52,Male,District_1,Tamil Nadu,686440,Leased,Aadhar,ID1051,ST,Approved,17-07-2024,29-04-2024,11-04-2023, 020,Rohan Gupta,Pending additional details.,3
Applicant_53,Male,District_2,Telangana,623897,Owned,VoterID,ID1052,SC,Approved,03-08-2024,30-09-2023,04-02-2025, 004,Kavita Menon,Verified and confirmed.,6
Applicant_54,Male,District_3,Telangana,630343,Leased,PAN,ID1053,General,Approved,28-04-2023,22-05-2024,15-07-2023, 003,Rohan Gupta,Cross-check required with local authority.,20
Applicant_55,Male,District_4,Karnataka,614693,Leased,VoterID,ID1054,SC,Approved,10-11-2023,27-08-2025,15-05-2025, 005,Kiran Rao,Application under consideration.,33
Applicant_56,Female,District_5,Kerala,620790,Owned,VoterID,ID1055,General,Approved,05-08-2025,02-03-2023,07-08-2023, 011,Shreya Bose,Pending additional details.,18
Applicant_57,Other,District_6,Karnataka,683399,Rented,VoterID,ID1056,OBC,Rejected,05-02-2025,28-01-2023,27-01-2024, 004,Anjali Joshi,Pending additional details.,22
Applicant_58,Other,District_7,Telangana,650331,Owned,Passport,ID1057,SC,Approved,18-07-2024,29-01-2025,15-02-2025, 011,Vikram Nair,Application under consideration.,41
Applicant_59,Male,District_8,Telangana,690929,Leased,Passport,ID1058,ST,Approved,22-04-2023,28-08-2024,12-05-2024, 004,Deepak Yadav,Pending additional details.,14
Applicant_60,Female,District_9,Kerala,693712,Rented,VoterID,ID1059,SC,Pending,08-07-2023,27-09-2023,26-07-2023, 016,Priya Verma,Approved after detailed  iew.,26
Applicant_61,Female,District_0,Andhra Pradesh,616461,Leased,Aadhar,ID1060,ST,Approved,28-12-2023,30-07-2024,11-01-2024, 009,Vikram Nair,Application  iewed successfully.,34
Applicant_62,Other,District_1,Andhra Pradesh,644146,Owned,VoterID,ID1061,SC,Approved,06-03-2024,17-05-2023,13-03-2023, 007,Shreya Bose,Final approval granted.,30
Applicant_63,Other,District_2,Andhra Pradesh,642583,Leased,VoterID,ID1062,ST,Pending,11-10-2023,10-06-2024,08-10-2024, 011,Sneha Iyer,Cross-check required with local authority.,38
Applicant_64,Other,District_3,Andhra Pradesh,619627,Owned,PAN,ID1063,SC,Rejected,31-08-2025,31-03-2024,18-02-2025, 016,Kavita Menon,Need more documents for verification.,12
Applicant_65,Other,District_4,Telangana,629546,Leased,VoterID,ID1064,General,Pending,26-04-2024,30-08-2025,13-11-2024, 002,Sneha Iyer,Approved after detailed  iew.,43
Applicant_66,Female,District_5,Tamil Nadu,682160,Owned,Passport,ID1065,General,Rejected,08-07-2024,25-09-2024,17-07-2025, 010,Nitin Bansal,Requires further validation.,17
Applicant_67,Other,District_6,Kerala,603137,Rented,PAN,ID1066,General,Pending,26-12-2023,06-03-2023,07-09-2024, 004,Neha Kapoor,Need more documents for verification.,46
Applicant_68,Male,District_7,Tamil Nadu,665218,Leased,Passport,ID1067,SC,Rejected,17-04-2024,16-10-2024,05-01-2025, 015,Kavita Menon,Requires further validation.,10
Applicant_69,Male,District_8,Kerala,679659,Rented,PAN,ID1068,OBC,Approved,06-01-2025,14-01-2023,12-07-2023, 010,Anjali Joshi,Application under consideration.,36
Applicant_70,Other,District_9,Tamil Nadu,672214,Rented,PAN,ID1069,OBC,Pending,06-06-2023,07-06-2024,01-07-2025, 001,Nitin Bansal,Application  iewed successfully.,26
